question,answer,intent,context
 Apa itu reksa dana syariah dan bagaimana cara kerjanya? ," Reksa dana syariah adalah produk investasi kolektif yang menginvestasikan dana nasabah dalam portofolio yang sesuai dengan prinsip-prinsip syariah, di mana keuntungan dibagi sesuai dengan porsi investasi masing-masing. ", products ," Reksa dana syariah adalah produk investasi kolektif yang menginvestasikan dana nasabah dalam portofolio yang sesuai dengan prinsip-prinsip syariah, di mana keuntungan dibagi sesuai dengan porsi investasi masing-masing. "
 Apa yang dimaksud dengan zakat dalam perbankan syariah? ," Zakat adalah kewajiban memberikan sebagian harta kepada yang berhak sesuai dengan syariat Islam. Dalam perbankan syariah, zakat juga dapat dihitung dan dibayarkan melalui layanan bank. ", concepts ," Zakat adalah kewajiban memberikan sebagian harta kepada yang berhak sesuai dengan syariat Islam. Dalam perbankan syariah, zakat juga dapat dihitung dan dibayarkan melalui layanan bank. "
 Apa peran zakat dalam perekonomian syariah? , Zakat berperan dalam distribusi kekayaan yang lebih adil dan membantu mengurangi kesenjangan ekonomi dengan memberikan bantuan kepada yang membutuhkan. , social_impact , Zakat berperan dalam distribusi kekayaan yang lebih adil dan membantu mengurangi kesenjangan ekonomi dengan memberikan bantuan kepada yang membutuhkan. 
 Bagaimana proses penyaluran zakat melalui bank syariah? ," Proses penyaluran zakat melalui bank syariah melibatkan penghitungan zakat yang harus dibayar oleh nasabah, pengumpulan dana zakat, dan penyalurannya kepada lembaga zakat atau penerima yang berhak. ", operations ," Proses penyaluran zakat melalui bank syariah melibatkan penghitungan zakat yang harus dibayar oleh nasabah, pengumpulan dana zakat, dan penyalurannya kepada lembaga zakat atau penerima yang berhak. "
 Apa itu infaq dan sedekah dalam perbankan syariah? , Infaq dan sedekah adalah bentuk pemberian harta secara sukarela untuk kebaikan. Bank syariah sering menyediakan layanan untuk memfasilitasi infaq dan sedekah dari nasabah. , concepts , Infaq dan sedekah adalah bentuk pemberian harta secara sukarela untuk kebaikan. Bank syariah sering menyediakan layanan untuk memfasilitasi infaq dan sedekah dari nasabah. 
 Apa saja manfaat berinvestasi di reksa dana syariah? ," Manfaat berinvestasi di reksa dana syariah meliputi kepatuhan terhadap prinsip-prinsip syariah, diversifikasi investasi, dan potensi keuntungan yang kompetitif. ", benefits ," Manfaat berinvestasi di reksa dana syariah meliputi kepatuhan terhadap prinsip-prinsip syariah, diversifikasi investasi, dan potensi keuntungan yang kompetitif. "
 Bagaimana bank syariah memastikan kepatuhan terhadap prinsip-prinsip syariah? , Bank syariah memastikan kepatuhan terhadap prinsip-prinsip syariah dengan melibatkan Dewan Pengawas Syariah (DPS) yang memberikan nasihat dan rekomendasi mengenai produk dan layanan bank. , governance , Bank syariah memastikan kepatuhan terhadap prinsip-prinsip syariah dengan melibatkan Dewan Pengawas Syariah (DPS) yang memberikan nasihat dan rekomendasi mengenai produk dan layanan bank. 
 Apa saja risiko yang dihadapi oleh bank syariah? ," Risiko yang dihadapi oleh bank syariah meliputi risiko kredit, risiko operasional, risiko pasar, dan risiko likuiditas, yang semuanya harus dikelola dengan prinsip kehati-hatian. ", risk_management ," Risiko yang dihadapi oleh bank syariah meliputi risiko kredit, risiko operasional, risiko pasar, dan risiko likuiditas, yang semuanya harus dikelola dengan prinsip kehati-hatian. "
 Bagaimana bank syariah mengelola risiko likuiditas? , Bank syariah mengelola risiko likuiditas dengan memastikan ketersediaan dana yang cukup untuk memenuhi kewajiban jangka pendek dan mematuhi aturan likuiditas yang ditetapkan oleh regulator. , risk_management , Bank syariah mengelola risiko likuiditas dengan memastikan ketersediaan dana yang cukup untuk memenuhi kewajiban jangka pendek dan mematuhi aturan likuiditas yang ditetapkan oleh regulator. 
 Apa yang dimaksud dengan pembiayaan berbasis ekuitas dalam perbankan syariah? ," Pembiayaan berbasis ekuitas adalah pembiayaan di mana bank dan nasabah berbagi kepemilikan dan risiko usaha, dengan keuntungan dan kerugian dibagi sesuai dengan porsi kepemilikan masing-masing. ", principles ," Pembiayaan berbasis ekuitas adalah pembiayaan di mana bank dan nasabah berbagi kepemilikan dan risiko usaha, dengan keuntungan dan kerugian dibagi sesuai dengan porsi kepemilikan masing-masing. "
 Bagaimana cara kerja deposito mudharabah dalam perbankan syariah? ," Dalam deposito mudharabah, nasabah menyimpan dana di bank dan bank mengelola dana tersebut untuk usaha yang halal, dengan keuntungan dibagi sesuai dengan nisbah yang disepakati. ", products ," Dalam deposito mudharabah, nasabah menyimpan dana di bank dan bank mengelola dana tersebut untuk usaha yang halal, dengan keuntungan dibagi sesuai dengan nisbah yang disepakati. "
 Apa yang dimaksud dengan akad jual beli dalam perbankan syariah? , Akad jual beli dalam perbankan syariah adalah kontrak di mana bank membeli barang yang dibutuhkan nasabah dan menjualnya kembali kepada nasabah dengan harga yang mencakup keuntungan yang disepakati. , principles , Akad jual beli dalam perbankan syariah adalah kontrak di mana bank membeli barang yang dibutuhkan nasabah dan menjualnya kembali kepada nasabah dengan harga yang mencakup keuntungan yang disepakati. 
 Bagaimana bank syariah menghindari transaksi yang mengandung maysir? ," Bank syariah menghindari transaksi yang mengandung maysir (spekulasi) dengan memastikan semua transaksi memiliki kejelasan, keadilan, dan tidak melibatkan unsur perjudian. ", principles ," Bank syariah menghindari transaksi yang mengandung maysir (spekulasi) dengan memastikan semua transaksi memiliki kejelasan, keadilan, dan tidak melibatkan unsur perjudian. "
 Apa itu produk pembiayaan konsumtif syariah? ," Produk pembiayaan konsumtif syariah adalah pembiayaan yang diberikan kepada nasabah untuk keperluan konsumsi, seperti pembelian barang dan jasa, dengan menggunakan prinsip-prinsip syariah. ", products ," Produk pembiayaan konsumtif syariah adalah pembiayaan yang diberikan kepada nasabah untuk keperluan konsumsi, seperti pembelian barang dan jasa, dengan menggunakan prinsip-prinsip syariah. "
 Apa itu akad Salam dalam perbankan syariah? , Akad Salam adalah kontrak jual beli di mana pembayaran dilakukan di muka dan barang diserahkan kemudian. Akad ini sering digunakan untuk pembiayaan pertanian. , principles , Akad Salam adalah kontrak jual beli di mana pembayaran dilakukan di muka dan barang diserahkan kemudian. Akad ini sering digunakan untuk pembiayaan pertanian. 
 Bagaimana bank syariah menentukan nisbah bagi hasil? ," Bank syariah menentukan nisbah bagi hasil berdasarkan kesepakatan antara bank dan nasabah, yang mempertimbangkan risiko usaha dan potensi keuntungan. ", operations ," Bank syariah menentukan nisbah bagi hasil berdasarkan kesepakatan antara bank dan nasabah, yang mempertimbangkan risiko usaha dan potensi keuntungan. "
 Apa yang dimaksud dengan Dana Pihak Ketiga (DPK) dalam perbankan syariah? ," Dana Pihak Ketiga (DPK) adalah dana yang ditempatkan oleh nasabah di bank syariah, yang digunakan oleh bank untuk pembiayaan usaha dan investasi yang halal. ", concepts ," Dana Pihak Ketiga (DPK) adalah dana yang ditempatkan oleh nasabah di bank syariah, yang digunakan oleh bank untuk pembiayaan usaha dan investasi yang halal. "
 Bagaimana bank syariah mempromosikan inklusi keuangan? ," Bank syariah mempromosikan inklusi keuangan dengan menyediakan produk dan layanan yang sesuai dengan prinsip-prinsip syariah untuk semua lapisan masyarakat, termasuk yang belum terjangkau layanan perbankan konvensional. ", social_impact ," Bank syariah mempromosikan inklusi keuangan dengan menyediakan produk dan layanan yang sesuai dengan prinsip-prinsip syariah untuk semua lapisan masyarakat, termasuk yang belum terjangkau layanan perbankan konvensional. "
 Apa saja kriteria pembiayaan yang sesuai dengan prinsip syariah? ," Kriteria pembiayaan yang sesuai dengan prinsip syariah meliputi kehalalan objek pembiayaan, keadilan dalam transaksi, dan tidak mengandung unsur riba, gharar, dan maysir. ", principles ," Kriteria pembiayaan yang sesuai dengan prinsip syariah meliputi kehalalan objek pembiayaan, keadilan dalam transaksi, dan tidak mengandung unsur riba, gharar, dan maysir. "
 Apa perbedaan antara mudharabah dan musyarakah? ," Mudharabah adalah pembiayaan di mana bank menyediakan modal dan nasabah mengelola usaha, sedangkan musyarakah adalah pembiayaan di mana kedua belah pihak menyediakan modal dan berbagi keuntungan serta kerugian. ", comparison ," Mudharabah adalah pembiayaan di mana bank menyediakan modal dan nasabah mengelola usaha, sedangkan musyarakah adalah pembiayaan di mana kedua belah pihak menyediakan modal dan berbagi keuntungan serta kerugian. "
 Bagaimana cara kerja pembiayaan ijarah muntahiya bittamlik? , Ijarah muntahiya bittamlik adalah pembiayaan sewa-menyewa di mana bank menyewakan aset kepada nasabah dan memberikan opsi kepada nasabah untuk membeli aset tersebut di akhir masa sewa. , principles , Ijarah muntahiya bittamlik adalah pembiayaan sewa-menyewa di mana bank menyewakan aset kepada nasabah dan memberikan opsi kepada nasabah untuk membeli aset tersebut di akhir masa sewa. 
 Apa itu akad istishna pararel dan bagaimana penerapannya? ," Akad istishna pararel adalah kontrak jual beli di mana bank memesan barang atau proyek dari pihak ketiga untuk memenuhi pesanan nasabah, dengan pembayaran dilakukan secara bertahap. ", principles ," Akad istishna pararel adalah kontrak jual beli di mana bank memesan barang atau proyek dari pihak ketiga untuk memenuhi pesanan nasabah, dengan pembayaran dilakukan secara bertahap. "
 Bagaimana bank syariah mengelola risiko operasional? ," Bank syariah mengelola risiko operasional dengan menerapkan sistem pengendalian internal yang ketat, melatih karyawan, dan mematuhi regulasi serta standar syariah. ", risk_management ," Bank syariah mengelola risiko operasional dengan menerapkan sistem pengendalian internal yang ketat, melatih karyawan, dan mematuhi regulasi serta standar syariah. "
 Apa itu Sharia Supervisory Board (SSB) dan apa perannya? , Sharia Supervisory Board (SSB) adalah dewan yang bertugas mengawasi kepatuhan syariah dalam operasional bank syariah dan memberikan nasihat terkait kepatuhan syariah. , governance , Sharia Supervisory Board (SSB) adalah dewan yang bertugas mengawasi kepatuhan syariah dalam operasional bank syariah dan memberikan nasihat terkait kepatuhan syariah. 
 Apa itu produk tabungan haji dalam perbankan syariah? ," Produk tabungan haji adalah produk tabungan yang dirancang untuk membantu nasabah menabung untuk biaya haji, dengan dana dikelola sesuai dengan prinsip-prinsip syariah. ", products ," Produk tabungan haji adalah produk tabungan yang dirancang untuk membantu nasabah menabung untuk biaya haji, dengan dana dikelola sesuai dengan prinsip-prinsip syariah. "
 Bagaimana bank syariah mendukung usaha kecil dan menengah (UKM)? ," Bank syariah mendukung usaha kecil dan menengah (UKM) dengan menyediakan produk pembiayaan yang sesuai dengan prinsip-prinsip syariah, serta memberikan pelatihan dan pendampingan usaha. ", social_impact ," Bank syariah mendukung usaha kecil dan menengah (UKM) dengan menyediakan produk pembiayaan yang sesuai dengan prinsip-prinsip syariah, serta memberikan pelatihan dan pendampingan usaha. "
 Apa saja tantangan yang dihadapi oleh perbankan syariah? ," Tantangan yang dihadapi oleh perbankan syariah meliputi persaingan dengan perbankan konvensional, kurangnya literasi keuangan syariah, dan kebutuhan untuk terus berinovasi dalam produk dan layanan. ", challenges ," Tantangan yang dihadapi oleh perbankan syariah meliputi persaingan dengan perbankan konvensional, kurangnya literasi keuangan syariah, dan kebutuhan untuk terus berinovasi dalam produk dan layanan. "
 Bagaimana bank syariah memastikan kehalalan produk yang dibiayai? , Bank syariah memastikan kehalalan produk yang dibiayai dengan melakukan due diligence yang ketat dan memastikan semua transaksi sesuai dengan prinsip-prinsip syariah. , governance , Bank syariah memastikan kehalalan produk yang dibiayai dengan melakukan due diligence yang ketat dan memastikan semua transaksi sesuai dengan prinsip-prinsip syariah. 
 Apa itu murabahah pembiayaan kendaraan dalam perbankan syariah? ," Murabahah pembiayaan kendaraan adalah produk di mana bank syariah membeli kendaraan yang diinginkan nasabah dan menjualnya kepada nasabah dengan harga yang mencakup keuntungan yang disepakati, yang dibayar secara cicilan. ", products ," Murabahah pembiayaan kendaraan adalah produk di mana bank syariah membeli kendaraan yang diinginkan nasabah dan menjualnya kepada nasabah dengan harga yang mencakup keuntungan yang disepakati, yang dibayar secara cicilan. "
 Bagaimana bank syariah mendukung ekonomi hijau? , Bank syariah mendukung ekonomi hijau dengan menyediakan pembiayaan untuk proyek-proyek ramah lingkungan dan investasi yang berkelanjutan sesuai dengan prinsip-prinsip syariah. , social_impact , Bank syariah mendukung ekonomi hijau dengan menyediakan pembiayaan untuk proyek-proyek ramah lingkungan dan investasi yang berkelanjutan sesuai dengan prinsip-prinsip syariah. 
 Apa saja persyaratan untuk mendapatkan pembiayaan di bank syariah? ," Persyaratan untuk mendapatkan pembiayaan di bank syariah meliputi kelengkapan dokumen identitas, laporan keuangan, rencana usaha, dan persetujuan dari Dewan Pengawas Syariah jika diperlukan. ", operations ," Persyaratan untuk mendapatkan pembiayaan di bank syariah meliputi kelengkapan dokumen identitas, laporan keuangan, rencana usaha, dan persetujuan dari Dewan Pengawas Syariah jika diperlukan. "
 Bagaimana cara proses transaksi kartu kredit syariah? ," Kartu kredit syariah adalah produk di mana nasabah dapat menggunakan kartu untuk transaksi tanpa bunga, dengan biaya administrasi yang transparan dan sesuai dengan prinsip-prinsip syariah. ", products ," Kartu kredit syariah adalah produk di mana nasabah dapat menggunakan kartu untuk transaksi tanpa bunga, dengan biaya administrasi yang transparan dan sesuai dengan prinsip-prinsip syariah. "
 Apa itu akad Kafalah dalam perbankan syariah? ," Akad Kafalah adalah kontrak jaminan di mana bank syariah menjamin pemenuhan kewajiban nasabah terhadap pihak ketiga, sering digunakan dalam transaksi perdagangan internasional. ", principles ," Akad Kafalah adalah kontrak jaminan di mana bank syariah menjamin pemenuhan kewajiban nasabah terhadap pihak ketiga, sering digunakan dalam transaksi perdagangan internasional. "
 Apa itu akad Istisna dalam perbankan syariah? , Akad Istisna adalah kontrak jual beli di mana barang dipesan dengan spesifikasi tertentu dan pembayaran dilakukan secara bertahap selama proses produksi. , principles , Akad Istisna adalah kontrak jual beli di mana barang dipesan dengan spesifikasi tertentu dan pembayaran dilakukan secara bertahap selama proses produksi. 
 Bagaimana bank syariah membantu pembiayaan proyek infrastruktur? , Bank syariah membantu pembiayaan proyek infrastruktur dengan menyediakan pembiayaan berbasis ekuitas atau kontrak jual beli sesuai dengan prinsip-prinsip syariah. , products , Bank syariah membantu pembiayaan proyek infrastruktur dengan menyediakan pembiayaan berbasis ekuitas atau kontrak jual beli sesuai dengan prinsip-prinsip syariah. 
 Apa itu akad Wadiah dalam perbankan syariah? ," Akad Wadiah adalah kontrak penitipan di mana nasabah menitipkan uang kepada bank dan bank bertanggung jawab menjaga uang tersebut, yang dapat diambil kapan saja oleh nasabah. ", principles ," Akad Wadiah adalah kontrak penitipan di mana nasabah menitipkan uang kepada bank dan bank bertanggung jawab menjaga uang tersebut, yang dapat diambil kapan saja oleh nasabah. "
 Bagaimana bank syariah memfasilitasi perdagangan internasional? ," Bank syariah memfasilitasi perdagangan internasional dengan menyediakan produk seperti L/C syariah, akad Kafalah, dan pembiayaan berdasarkan prinsip-prinsip syariah. ", operations ," Bank syariah memfasilitasi perdagangan internasional dengan menyediakan produk seperti L/C syariah, akad Kafalah, dan pembiayaan berdasarkan prinsip-prinsip syariah. "
 Apa itu akad Rahn dalam perbankan syariah? , Akad Rahn adalah kontrak gadai di mana nasabah menyerahkan barang berharga sebagai jaminan untuk mendapatkan pembiayaan dari bank syariah. , principles , Akad Rahn adalah kontrak gadai di mana nasabah menyerahkan barang berharga sebagai jaminan untuk mendapatkan pembiayaan dari bank syariah. 
 Bagaimana cara kerja L/C syariah? ," L/C syariah adalah surat kredit yang digunakan dalam perdagangan internasional, di mana bank syariah menjamin pembayaran kepada penjual sesuai dengan prinsip-prinsip syariah. ", products ," L/C syariah adalah surat kredit yang digunakan dalam perdagangan internasional, di mana bank syariah menjamin pembayaran kepada penjual sesuai dengan prinsip-prinsip syariah. "
 Apa saja faktor yang mempengaruhi perkembangan perbankan syariah di Indonesia? ," Faktor yang mempengaruhi perkembangan perbankan syariah di Indonesia meliputi regulasi pemerintah, literasi keuangan syariah, dan dukungan dari lembaga keuangan internasional. ", development ," Faktor yang mempengaruhi perkembangan perbankan syariah di Indonesia meliputi regulasi pemerintah, literasi keuangan syariah, dan dukungan dari lembaga keuangan internasional. "
 Bagaimana peran masyarakat dalam mendukung perbankan syariah? ," Peran masyarakat dalam mendukung perbankan syariah meliputi meningkatkan literasi keuangan syariah, memilih produk dan layanan yang sesuai dengan prinsip-prinsip syariah, dan aktif dalam kegiatan ekonomi syariah. ", social_impact ," Peran masyarakat dalam mendukung perbankan syariah meliputi meningkatkan literasi keuangan syariah, memilih produk dan layanan yang sesuai dengan prinsip-prinsip syariah, dan aktif dalam kegiatan ekonomi syariah. "
 Apa itu akad Ju’alah dalam perbankan syariah? , Akad Ju’alah adalah kontrak di mana bank menawarkan imbalan kepada pihak yang berhasil menyelesaikan pekerjaan atau mencapai hasil tertentu sesuai dengan syarat yang disepakati. , principles , Akad Ju’alah adalah kontrak di mana bank menawarkan imbalan kepada pihak yang berhasil menyelesaikan pekerjaan atau mencapai hasil tertentu sesuai dengan syarat yang disepakati. 
 Bagaimana bank syariah mengembangkan produk keuangan digital? ," Bank syariah mengembangkan produk keuangan digital dengan menyediakan layanan mobile banking, internet banking, dan e-wallet yang sesuai dengan prinsip-prinsip syariah. ", innovation ," Bank syariah mengembangkan produk keuangan digital dengan menyediakan layanan mobile banking, internet banking, dan e-wallet yang sesuai dengan prinsip-prinsip syariah. "
 Apa saja tantangan yang dihadapi bank syariah dalam era digital? ," Tantangan yang dihadapi bank syariah dalam era digital meliputi keamanan siber, kebutuhan akan inovasi berkelanjutan, dan persaingan dengan fintech konvensional. ", challenges ," Tantangan yang dihadapi bank syariah dalam era digital meliputi keamanan siber, kebutuhan akan inovasi berkelanjutan, dan persaingan dengan fintech konvensional. "
 Bagaimana bank syariah mempromosikan keadilan sosial? , Bank syariah mempromosikan keadilan sosial dengan menyediakan produk dan layanan yang mendukung pemberdayaan ekonomi umat,Social Justice Promotion,Economic Empowerment
bagaimana sejarah berdirinya HIKP?,"PT. BPRS HIK Parahyangan merupakan BPR Syariah Hasil akuisisi dari BPRS TOAT (yang didirikan tahun 1994 oleh K. H. Anom Mubarok, BA) proses akuisisi 2006 merupakan tonggak berdirinya BPRS HIK Parahyangan. PT. BPRS HIK Parahyangan mulai efektif beroperasi pada bulan September 2006. Berkedudukan di Jl. Percobaan No. 1 Cileunyi - Kab.Bandung. Sesuai dengan Visi PT.BPRS HIK Parahyangan, perkembangan bisnis strategi terus ditingkatkan sehingga memantapkan PT. BPRS HIK Parahyangan menjadi salah satu PT. BPRS terbaik di Indonesia. https://www.hikparahyangan.co.id/tentang-kami",History,BPRS HIK Parahyangan 
apakah ada info tentang proses kelembagaan atau profil BPRS HIKP?,"PT. Bank Pembiayaan Rakyat Syariah Harta Insan Karimah Parahyangan (sebelumnya bernama PT Bank Perkreditan Rakyat Syariah Tolong Menolong Bermanfaat (BPRS TOAT) yang diubah nama menjadi PT. Bank Perkreditan Rakyat Syariah Harta Insan Karimah Parahyangan. PT BPRS TOAT didirikan tanggal 11 September 1993 dengan Akta No.26 Notaris Masri Husen, Sarjana Hukum di Bandung yang anggaran dasarnya telahdi umumkan dalam berita Negara Republik Indonesia tanggal 1 Oktober 1996 nomor 79 tambahan nomor 8444/1996, kemudian diubah tanggal 18 April 2001 melalui Akta No. 6 dari Notaris Masri Husen dan atas anggaran dasarnya telah mendapat pengesahan dari Menteri (Departemen) Kehakiman Republik Indonesia tanggal 25Oktober 2001 Nomor C.11469.HT.01.01 TH 2001. Perubahan Anggaran Dasar pasal 3 ayat 1, ayat 2 mengenai maksud serta tujuan perseroan, perubahan anggaran dasar pasal 4 atas modal dasar perseroan, telah diaktakan pada tanggal 3 Oktober 2006 melalui Akta Nomor 02 dari Notaris Hilda Sophia Wiradiredja, SH. Dan telah mendapat persetujuan melalui Keputusan Menteri Hukum dan Hak Asasi Manusia Republik Indonesia Nomor: W8-00180 HT.01.04-TH.2007 pada tanggal 19 Januari 2007, serta telah terlampir dalam Tambahan Berita Negara RI tanggal 13/4-2007 No. 30. Berdasarkan akta nomor 21 tanggal 27 Maret 2009 dari Notaris Hilda Sophia Wiradiredja, SH berisi tentang laporan pertanggung jawaban Direksi dan pembagian laba serta akta nomor 22 tanggal 27 Maret April 2009 dari notaris yang sama tentang perubahan Anggaran Dasar Perseroan dan perubahan nama dari PT. Bank Perkreditan Rakyat Harta Insan Karimah Parahyangan menjadi PT. Bank Pembiayaan Rakyat Syariah Harta Insan Karimah Parahyangan. https://www.hikparahyangan.co.id/tentang-kami",Profil Lembaga,BPRS HIK Parahyangan 
apakah yang kami dapatkan dengan menabung yang akadnya mudharabah mutlaqah?,"Untuk produk tabungan berakad mudharabah mutlaqah ini nasabah akan mendapatkan berbagai macam fasilitas seperti ATM Cardless, buku tabungan, hingga electronic banking (mobile banking) untuk kemudahan bertransaksi. Untuk setoran awalnya pun cukup rendah yaitu sekitar Rp 25 ribu.",produk,Tabungan
ada akad pembiayaan apa saja di Bank Syariah?,"Ada beberapa jenis akad bank syariah mulai dari Wadiah, mudharabah, musyarakah, murabahah, salam, istishna, ijarah, ijarah muntahiyah bittamlik, dan qardh.",produk,Pembiayaan
"jika ada kendala pembayaran angsuran pada fasilitas pembiayaan di Bank Syariah, apakah kami langsung bermasalah atau ada solusi?","Kasus pembiayaan bermasalah terjadinya tidak secara tiba-tiba, namun akan mengalami tahap bermasalah terlebih dahulu. pada tahap ini, pihak bank akan memberikan peringatan secara kekeluargaan, apabila nasabah tetap saja mengalami kesulitan untuk menyelesaikan kewajibannya, maka dengan persetujuan dari pihak nasabah dapat dilakukan upaya restrukturisasi pembiayaan. Dijelaskan dalam Peraturan Bank Indonesia Nomor 13/9/PBI/2011 bahwa restrukturisasi pembiayaan adalah upaya yang dilakukan bank dalam rangka membantu nasabah agar dapat menyelesaikan kewajibannya, antara lain melalui: penjadwalan kembali (rescheduling), persyaratan kembali (reconditioning), dan penataan kembali (restructuring).",kredit bermasalah,Pembiayaan
bagaimana Bank Syariah menangani pembiayaan bermasalah atau pembiayaan macet?,"Bank Syariah dalam menangani pembiayaan bermasalah, antara lain dilakukan secara musyawarah. Sesuai ketentuan Pasal 15 pada akad pembiayaan, disebutkan apabila terjadi permasalahan antara bank dan nasabah terikat dengan pembiayaan maka akan diselesaikan secara musyawarah untuk mufakat. Cara ini biasanya dilakukan apabila debitur mempunyai kemauan dan beritikad baik serta mau mematuhi syarat-syarat yang diberikan oleh pihak bank. Dalam musyawarah ini biasanya pihak bank lebih memberikan ruang untuk negosiasi yang didahulukan bank dengan nasabah. Dalam hal ini pihak bank langgsung melakukan musyawarah agar pembiayaan tersebut dapat diselesaikan yaitu dengan cara pertama mengirim surat teguran kepada MA agar dapat segera melunasi tunggakannya, yang kedua pihak bank memanggil MA untuk membicarakan syarat-syarat yang harus dijalankan untuk dapat melunasi hutangnya. Syarat tersebut berupa memperpanjang jangka waktu pembiayaan dan mengurangi jumlah angguran setiap bulannya. Pihak bank juga memberikan tambahan modal baru kepada MA untuk dapat melangsungkan usahanya, meskipun MA telah mengalami tunggakan selama 10 bulan tetapi atas segala bertimbangan yang dilakukan oleh pihak bank seperti melakukan penelitian langsung ke lapangan bahwa benar nasabah sedang mengalami penurunan usaha sehingga banyak mengalami kerugian dan nasabah masih mempunyai kemauan untuk membayar hutang tetapi terlambat. Akhirnya pihak bank sepakat untuk menambah modal dengan harapan MA dapat menjalankan usahanya kembali dan segera melunasi hutangnya kepada bank.",kredit bermasalah,Pembiayaan
apa cara Bank Syariah dalam penanganan pembiayaan bermasalah?,"Secara garis besar upaya untuk mengatasi pembiayaan bermasalah dapat dilakukan melalui upaya-upaya yang bersifat preventif dan represif/ kuratif. Upaya yang bersifat preventif (pencegahan) dilakukan oleh bank sejak permohonan pembiayaan diajukan nasabah, pelaksanaan analisa yang akurat terhadap data pembiayaan, pembuatan perjanjian pembiayaan yang benar, pengikatan agunan yang menjamin kepentingan bank sampai dengan pemantauan atau pengawasan terhadap pembiayaan yang diberikan. Sedangkan upaya yang bersifat represif/kuratif adalah upaya mengatasi pembiayaan bermasalah yang bersifat penyelamatan atau penyelesaian terhadap pembiayaan bermasalah. Penyelamatan pembiayaan bermasalah merupakan upaya dan langkah-langkah restrukturisasi yang dilakukan bank dengan mengikuti ketentuan yang berlaku agar pembiayaan non lancar (golongan kurang lancar, diragukan, dan macet) secara bertahap menjadi golongan lancar kembali (Djamil, 2012).

Strategi penyelesaian pembiayaan bermasalah dilakukan melalui dua jalur yaitu jalur non-litigasi maupun litigasi. Jalur non-litigasi (kekeluargaan) bisa dilakukan dengan penagihan, restrukturisasi, hapus buku atau tetap menjaga pertumbuhan pembiayaannya. Jika jalur non-litigasi tidak mencapai kesepakatan dan tidak bisa menyelesaikan pembiayaan bermasalah maka BPRS bisa menempuh jalur litigasi yang lebih mempunyai kekuatan hukum mengikat antar pihak. Bank syariah dalam memberikan pembiayaan berharap bahwa pembiayaan tersebut, berjalan dengan lancar, nasabah mematuhi apa yang telah disepakati dalam perjanjian dan membayar lunas bilamana jatuh tempo. Akan tetapi, bisa terjadi dalam jangka waktu pembiayaan nasabah mengalami kesulitan dalam pembayaran yang berakibat kerugian bagi bank syariah. Dalam hukum perdata kewajiban memenuhi prestasi harus dipenuhi oleh debitur sehingga jika debitur tidak memenuhi sesuatu yang diwajibkan, seperti yang telah ditetapkan dalam perjanjian maka dikatakan debitur telah melakukan wanprestasi. Ada empat keadaan dikatakan wanprestasi, yaitu :

Debitur memenuhi prestasi tidak sebagaimana yang diperjanjikan
Debitur terlambat memenuhi prestasi
Debitur melakukan perbuatan yang tidak diperbolehkan dalam perjanjian.
            Proses penanganan pembiayaan yang bermasalah dapat dilakukan sesuai dengan golongannya, yaitu (Muhammad, 2005):

Pembiayaan lancar dilakukan dengan cara:
Pemantauan usaha nasabah.
Pembinaan anggota dengan pelatihan-pelatihan
Pembiayaan potensial bermasalah, dilakukan dengan cara:
Pembinaan anggota.
Pemberitahuan dengan surat teguran.
Kunjungan lapangan atau silaturahmi oleh bagian pembiayaan kepada nasabah.
Upaya preventif dengan penanganan rescheduling, yaitu penjadwalan kembali jangka waktu angsuran serta memperkecil jumlah angsuran. Juga dapat dilakukan dengan reconditioning, yaitu memperkecil keuntungan atau bagi hasil.
Pembiayaan kurang lancar, dilakukan dengan cara:
Membuat surat teguran atau peringatan.
Kunjungan lapangan atau silaturahmi oleh bagian pembiayaan kepada nasabah dilakukan dengan lebih bersungguh-sungguh.
Upaya penyehatan dengan cara rescheduling, yaitu penjadwalan kembali jangka waktu angsuran serta memperkecil jumlah angsuran. Juga dapat dilakukan dengan reconditioning, yaitu memperkecil margin keuntungan atau bagi hasil.",kredit bermasalah,Pembiayaan
